enrollment_id,student_id,program_id,year
5001,1001,2,2023
5002,1002,1,2024
5003,1003,2,2021
5004,1004,2,2020
5005,1005,2,20-21
5006,1006,1,20-21
5007,1007,2,FY2022
5008,1008,1,2021
5009,1009,2,20-21
5010,1010,2,20-21
5011,1011,2,2021
5012,1012,2,2023
5013,1013,2,2020
5014,1014,2,2021
5015,1015,1,2024
5016,1016,2,2020
5017,1017,1,2024
5018,1018,1,FY2022
5019,1019,2,2020
5020,1020,2,2020
5021,1021,1,2023
5022,1022,2,FY2022
5023,1023,1,2024
5024,1024,2,FY2022
5025,1025,2,2018
5026,1026,1,20-21
5027,1027,2,FY2022
5028,1028,2,2020
5029,1029,1,2024
5030,1030,1,2021
5031,1031,2,FY2022
5032,1032,2,FY2022
5033,1033,2,2024
5034,1034,2,2020
5035,1035,2,2018
5036,1036,1,2018
5037,1037,2,20-21
5038,1038,1,20-21
5039,1039,1,2021
5040,1040,2,2019
5041,1041,1,FY2022
5042,1042,1,2018
5043,1043,1,2019
5044,1044,1,2018
5045,1045,2,2018
5046,1046,1,2021
5047,1047,1,2024
5048,1048,2,2024
5049,1049,2,2023
5050,1050,2,2023
5051,1051,2,2021
5052,1052,1,FY2022
5053,1053,1,2024
5054,1054,2,2019
5055,1055,1,FY2022
5056,1056,2,2018
5057,1057,2,2021
5058,1058,1,2018
5059,1059,2,2023
5060,1060,2,2019
5061,1061,1,2019
5062,1062,1,20-21
5063,1063,2,2020
5064,1064,2,2021
5065,1065,1,20-21
5066,1066,1,2019
5067,1067,2,2019
5068,1068,1,2021
5069,1069,2,2019
5070,1070,1,2023
5071,1071,2,2019
5072,1072,1,2018
5073,1073,1,20-21
5074,1074,1,2024
5075,1075,1,2020
5076,1076,1,2019
5077,1077,1,20-21
5078,1078,2,20-21
5079,1079,1,2024
5080,1080,2,2023
5081,1081,2,2020
5082,1082,1,2021
5083,1083,2,FY2022
5084,1084,2,2018
5085,1085,1,2023
5086,1086,1,2019
5087,1087,1,2023
5088,1088,1,2023
5089,1089,2,2019
5090,1090,2,FY2022
5091,1091,2,2024
5092,1092,2,20-21
5093,1093,1,2018
5094,1094,2,2020
5095,1095,2,2021
5096,1096,1,2023
5097,1097,1,2019
5098,1098,2,2023
5099,1099,1,2019
5100,1100,1,2024
5101,1101,1,2024
5102,1102,1,FY2022
5103,1103,2,2021
5104,1104,1,2020
5105,1105,2,20-21
5106,1106,2,2023
5107,1107,2,2019
5108,1108,1,2020
5109,1109,2,FY2022
5110,1110,1,20-21
5111,1111,1,2023
5112,1112,2,20-21
5113,1113,1,20-21
5114,1114,1,FY2022
5115,1115,2,2023
5116,1116,2,2020
5117,1117,2,FY2022
5118,1118,1,2019
5119,1119,1,FY2022
5120,1120,1,2019
5121,1121,1,FY2022
5122,1122,2,2020
5123,1123,1,20-21
5124,1124,2,2018
5125,1125,1,20-21
5126,1126,1,2019
5127,1127,2,20-21
5128,1128,2,2023
5129,1129,1,2019
5130,1130,2,2021
5131,1131,2,2021
5132,1132,1,2024
5133,1133,1,2020
5134,1134,1,2020
5135,1135,1,FY2022
5136,1136,1,FY2022
5137,1137,2,FY2022
5138,1138,2,2021
5139,1139,1,20-21
5140,1140,1,2021
5141,1141,1,2023
5142,1142,2,2019
5143,1143,1,2024
5144,1144,1,2021
5145,1145,1,FY2022
5146,1146,1,2018
5147,1147,1,2018
5148,1148,2,FY2022
5149,1149,1,2020
5150,1150,1,2024
5151,1151,2,2019
5152,1152,1,20-21
5153,1153,2,20-21
5154,1154,1,2021
5155,1155,2,2023
5156,1156,2,2018
5157,1157,2,2024
5158,1158,1,FY2022
5159,1159,1,2024
5160,1160,1,2023
5161,1161,2,2020
5162,1162,1,2021
5163,1163,1,2018
5164,1164,2,2019
5165,1165,1,2024
5166,1166,1,2023
5167,1167,2,FY2022
5168,1168,2,20-21
5169,1169,1,2019
5170,1170,1,2020
5171,1171,1,20-21
5172,1172,1,2019
5173,1173,2,20-21
5174,1174,1,20-21
5175,1175,2,2021
5176,1176,1,FY2022
5177,1177,2,20-21
5178,1178,1,2023
5179,1179,2,2019
5180,1180,1,2023
5181,1181,1,2019
5182,1182,1,2023
5183,1183,2,2020
5184,1184,1,2019
5185,1185,1,2019
5186,1186,1,2021
5187,1187,2,2021
5188,1188,2,2018
5189,1189,1,2024
5190,1190,2,2020
5191,1191,2,2019
5192,1192,1,2018
5193,1193,2,FY2022
5194,1194,2,FY2022
5195,1195,2,20-21
5196,1196,1,2023
5197,1197,1,2021
5198,1198,1,2020
5199,1199,2,20-21
5200,1200,2,2023
5201,1201,1,2020
5202,1202,1,2018
5203,1203,2,2018
5204,1204,1,2021
5205,1205,2,2019
5206,1206,2,2021
5207,1207,1,FY2022
5208,1208,2,2021
5209,1209,1,FY2022
5210,1210,1,2020
5211,1211,2,2023
5212,1212,2,2021
5213,1213,2,2019
5214,1214,2,2024
5215,1215,2,2020
5216,1216,2,2018
5217,1217,2,2018
5218,1218,2,2023
5219,1219,2,2019
5220,1220,1,2019
5221,1221,1,2021
5222,1222,1,FY2022
5223,1223,1,2024
5224,1224,1,2021
5225,1225,2,2023
5226,1226,2,20-21
5227,1227,1,2018
5228,1228,2,2024
5229,1229,2,2020
5230,1230,2,FY2022
5231,1231,1,2021
5232,1232,1,2024
5233,1233,2,2020
5234,1234,2,2023
5235,1235,1,2018
5236,1236,2,2018
5237,1237,1,2021
5238,1238,2,2024
5239,1239,2,2019
5240,1240,1,2023
5241,1241,1,2024
5242,1242,1,2019
5243,1243,1,2020
5244,1244,2,FY2022
5245,1245,2,2019
5246,1246,2,2018
5247,1247,1,20-21
5248,1248,1,2023
5249,1249,1,20-21
5250,1250,1,2024
5251,1251,1,2020
5252,1252,2,2023
5253,1253,2,2021
5254,1254,1,2023
5255,1255,2,2020
5256,1256,2,2024
5257,1257,2,2021
5258,1258,2,2018
5259,1259,2,2021
5260,1260,1,2018
5261,1261,2,FY2022
5262,1262,1,2024
5263,1263,1,20-21
5264,1264,2,20-21
5265,1265,1,2023
5266,1266,2,2023
5267,1267,2,2019
5268,1268,2,2024
5269,1269,1,2023
5270,1270,1,2019
5271,1271,1,2018
5272,1272,2,2019
5273,1273,1,2019
5274,1274,2,2021
5275,1275,1,2020
5276,1276,2,2018
5277,1277,2,2021
5278,1278,1,2019
5279,1279,1,2019
5280,1280,2,FY2022
5281,1281,2,FY2022
5282,1282,2,2020
5283,1283,2,20-21
5284,1284,2,20-21
5285,1285,2,2019
5286,1286,2,20-21
5287,1287,1,2018
5288,1288,2,2018
5289,1289,2,FY2022
5290,1290,1,2023
5291,1291,2,2019
5292,1292,1,2019
5293,1293,2,FY2022
5294,1294,1,2021
5295,1295,2,FY2022
5296,1296,1,2024
5297,1297,1,2020
5298,1298,2,2021
5299,1299,1,2019
5300,1300,1,2024
5301,1301,2,2023
5302,1302,2,2024
5303,1303,1,2020
5304,1304,2,FY2022
5305,1305,2,2020
5306,1306,1,2020
5307,1307,1,2021
5308,1308,2,2021
5309,1309,2,2023
5310,1310,1,2021
5311,1311,2,2024
5312,1312,2,2024
5313,1313,2,2020
5314,1314,1,2023
5315,1315,2,FY2022
5316,1316,2,2019
5317,1317,1,2019
5318,1318,2,2021
5319,1319,2,20-21
5320,1320,2,2018
5321,1321,2,20-21
5322,1322,1,2018
5323,1323,2,2024
5324,1324,2,2018
5325,1325,1,2020
5326,1326,2,2024
5327,1327,2,2021
5328,1328,1,FY2022
5329,1329,2,20-21
5330,1330,1,2020
5331,1331,2,2019
5332,1332,2,FY2022
5333,1333,2,2024
5334,1334,1,2021
5335,1335,1,2024
5336,1336,1,FY2022
5337,1337,1,2023
5338,1338,1,2024
5339,1339,1,FY2022
5340,1340,2,2023
5341,1341,2,2019
5342,1342,2,2020
5343,1343,2,2018
5344,1344,1,2024
5345,1345,1,2019
5346,1346,2,FY2022
5347,1347,1,2020
5348,1348,2,2020
5349,1349,2,2020
5350,1350,1,2024
5351,1351,2,2021
5352,1352,1,2021
5353,1353,1,FY2022
5354,1354,1,20-21
5355,1355,1,2019
5356,1356,1,2019
5357,1357,1,2018
5358,1358,1,2020
5359,1359,1,2020
5360,1360,2,2018
5361,1361,1,2019
5362,1362,2,2023
5363,1363,2,2024
5364,1364,2,2024
5365,1365,1,2024
5366,1366,2,2020
5367,1367,2,20-21
5368,1368,1,2024
5369,1369,1,2024
5370,1370,2,2020
5371,1371,1,2024
5372,1372,1,2024
5373,1373,1,FY2022
5374,1374,2,2019
5375,1375,1,2023
5376,1376,2,2021
5377,1377,1,2020
5378,1378,2,2024
5379,1379,2,2020
5380,1380,1,2021
5381,1381,1,2024
5382,1382,1,20-21
5383,1383,2,2024
5384,1384,2,2023
5385,1385,1,2018
5386,1386,1,2021
5387,1387,2,FY2022
5388,1388,2,2024
5389,1389,1,2018
5390,1390,1,2024
5391,1391,2,2021
5392,1392,2,2023
5393,1393,2,2020
5394,1394,1,FY2022
5395,1395,2,2018
5396,1396,1,FY2022
5397,1397,1,2019
5398,1398,2,2023
5399,1399,2,20-21
5400,1400,2,2019
5401,1401,1,2018
5402,1402,2,2019
5403,1403,2,2018
5404,1404,1,20-21
5405,1405,1,2020
5406,1406,2,2019
5407,1407,1,2024
5408,1408,2,2019
5409,1409,1,2019
5410,1410,1,2024
5411,1411,1,2021
5412,1412,2,2024
5413,1413,2,2021
5414,1414,2,2021
5415,1415,1,2024
5416,1416,1,2020
5417,1417,2,2020
5418,1418,1,2024
5419,1419,2,FY2022
5420,1420,2,20-21
5421,1421,1,2024
5422,1422,1,2020
5423,1423,1,2021
5424,1424,2,2019
5425,1425,1,2020
5426,1426,2,2023
5427,1427,2,FY2022
5428,1428,2,2023
5429,1429,2,2019
5430,1430,1,2018
5431,1431,2,2020
5432,1432,1,2018
5433,1433,2,2019
5434,1434,1,2024
5435,1435,2,2024
5436,1436,2,2021
5437,1437,2,2020
5438,1438,1,2018
5439,1439,1,FY2022
5440,1440,2,2018
5441,1441,2,FY2022
5442,1442,2,2021
5443,1443,2,20-21
5444,1444,2,2024
5445,1445,1,20-21
5446,1446,2,2023
5447,1447,1,FY2022
5448,1448,2,2018
5449,1449,1,2021
5450,1450,1,2021
5451,1451,1,2023
5452,1452,1,2024
5453,1453,1,2023
5454,1454,1,2018
5455,1455,2,2021
5456,1456,1,2023
5457,1457,1,2024
5458,1458,1,2019
5459,1459,2,2021
5460,1460,1,2024
5461,1461,1,20-21
5462,1462,1,2020
5463,1463,1,2024
5464,1464,2,2020
5465,1465,2,2023
5466,1466,2,2018
5467,1467,2,2023
5468,1468,1,2023
5469,1469,1,2024
5470,1470,1,2024
5471,1471,2,20-21
5472,1472,1,2020
5473,1473,2,2020
5474,1474,1,2019
5475,1475,1,2023
5476,1476,2,2019
5477,1477,2,2024
5478,1478,1,2023
5479,1479,1,20-21
5480,1480,1,2023
5481,1481,1,2020
5482,1482,1,2018
5483,1483,1,2024
5484,1484,1,2019
5485,1485,2,2020
5486,1486,1,2020
5487,1487,1,20-21
5488,1488,1,2024
5489,1489,2,20-21
5490,1490,2,FY2022
5491,1491,2,2021
5492,1492,2,FY2022
5493,1493,1,2020
5494,1494,2,2024
5495,1495,2,2020
5496,1496,2,20-21
5497,1497,2,20-21
5498,1498,1,2018
5499,1499,2,20-21
5500,1500,1,20-21
5501,1501,1,2021
5502,1502,1,2021
5503,1503,1,2018
5504,1504,2,20-21
5505,1505,1,2024
5506,1506,1,20-21
5507,1507,2,2021
5508,1508,2,2018
5509,1509,1,2024
5510,1510,2,2023
5511,1511,1,2018
5512,1512,1,2019
