student_id,name,gender,age,program_type,country,education_background,work_experience
1001,Student_1001,F,25,mba,China,Bachelor,3-5 years
1002,Student_1002,,24,mba,Italy,High School,5-10 years
1003,Student_1003,M,24,MBA,California,Bachelor,<1 year
1004,Student_1004,M,22,EMBA,Netherlands,Bachelor,1-3 years
1005,Student_1005,F,26,mba,Texas,High School,3-5 years
1006,Student_1006,M,23,EMBA,India,PhD,1-3 years
1007,Student_1007,M,25,emba,Italy,PhD,3-5 years
1008,Student_1008,M,22,MBA,Germany,High School,10+ years
1009,Student_1009,M,22,emba,India,PhD,3-5 years
1010,Student_1010,F,24,MBA,Texas,Bachelor,1-3 years
1011,Student_1011,M,24,MBA,Vietnam,Master,<1 year
1012,Student_1012,M,23,MBA,Illinois,High School,5-10 years
1013,Student_1013,F,24,emba,Massachusetts,Bachelor,10+ years
1014,Student_1014,F,25,EMBA,Texas,Diploma,3-5 years
1015,Student_1015,,25,mba,Italy,Bachelor,3-5 years
1016,Student_1016,F,25,mba,Sweden,Master,5-10 years
1017,Student_1017,M,24,EMBA,China,Bachelor,1-3 years
1018,Student_1018,M,25,emba,India,Bachelor,5-10 years
1019,Student_1019,,25,EMBA,Illinois,Master,10+ years
1020,Student_1020,M,23,mba,India,High School,<1 year
1021,Student_1021,M,23,emba,Florida,Bachelor,<1 year
1022,Student_1022,M,22,MBA,Indonesia,PhD,3-5 years
1023,Student_1023,,25,MBA,Sweden,High School,<1 year
1024,Student_1024,F,25,emba,Indonesia,Master,5-10 years
1025,Student_1025,M,26,EMBA,Vietnam,Bachelor,3-5 years
1026,Student_1026,M,26,EMBA,Japan,Master,3-5 years
1027,Student_1027,M,22,EMBA,India,High School,10+ years
1028,Student_1028,F,25,emba,Texas,Diploma,5-10 years
1029,Student_1029,F,23,EMBA,Japan,Master,1-3 years
1030,Student_1030,F,25,MBA,Massachusetts,PhD,5-10 years
1031,Student_1031,M,26,EMBA,Netherlands,Diploma,10+ years
1032,Student_1032,M,22,MBA,Sweden,Bachelor,3-5 years
1033,Student_1033,F,24,mba,Massachusetts,PhD,<1 year
1034,Student_1034,F,22,EMBA,Texas,Master,1-3 years
1035,Student_1035,F,23,EMBA,India,High School,10+ years
1036,Student_1036,F,24,mba,Illinois,High School,3-5 years
1037,Student_1037,M,,MBA,Italy,Master,<1 year
1038,Student_1038,F,24,emba,Italy,Diploma,1-3 years
1039,Student_1039,F,,EMBA,New York,Master,3-5 years
1040,Student_1040,F,24,EMBA,Illinois,High School,5-10 years
1041,Student_1041,F,25,EMBA,Illinois,Bachelor,1-3 years
1042,Student_1042,M,22,mba,Massachusetts,High School,<1 year
1043,Student_1043,M,,mba,South Korea,Diploma,3-5 years
1044,Student_1044,F,25,EMBA,Germany,Bachelor,<1 year
1045,Student_1045,F,23,EMBA,Texas,Master,10+ years
1046,Student_1046,F,23,emba,Texas,Diploma,3-5 years
1047,Student_1047,F,23,emba,Indonesia,High School,3-5 years
1048,Student_1048,M,24,EMBA,South Korea,PhD,<1 year
1049,Student_1049,,25,mba,Illinois,Bachelor,<1 year
1050,Student_1050,F,22,emba,China,High School,1-3 years
1051,Student_1051,,26,EMBA,California,Diploma,1-3 years
1052,Student_1052,M,23,EMBA,Sweden,PhD,1-3 years
1053,Student_1053,M,23,mba,Italy,High School,10+ years
1054,Student_1054,F,22,emba,Texas,PhD,1-3 years
1055,Student_1055,F,24,EMBA,Illinois,High School,3-5 years
1056,Student_1056,M,23,MBA,Japan,High School,3-5 years
1057,Student_1057,M,23,EMBA,California,PhD,5-10 years
1058,Student_1058,M,25,EMBA,Spain,High School,1-3 years
1059,Student_1059,F,,mba,Italy,Master,5-10 years
1060,Student_1060,F,23,EMBA,Indonesia,PhD,10+ years
1061,Student_1061,M,,MBA,India,Master,10+ years
1062,Student_1062,F,22,EMBA,Illinois,Master,1-3 years
1063,Student_1063,F,25,mba,Florida,Diploma,10+ years
1064,Student_1064,F,25,MBA,China,PhD,1-3 years
1065,Student_1065,M,22,MBA,Illinois,High School,5-10 years
1066,Student_1066,F,23,MBA,India,High School,<1 year
1067,Student_1067,M,26,emba,China,High School,10+ years
1068,Student_1068,M,23,mba,Sweden,High School,10+ years
1069,Student_1069,M,22,mba,China,Master,<1 year
1070,Student_1070,F,22,EMBA,Germany,Bachelor,1-3 years
1071,Student_1071,,22,emba,France,Bachelor,5-10 years
1072,Student_1072,F,26,mba,Italy,PhD,10+ years
1073,Student_1073,F,23,MBA,Vietnam,Diploma,<1 year
1074,Student_1074,F,26,emba,Massachusetts,High School,3-5 years
1075,Student_1075,F,23,emba,New York,Bachelor,10+ years
1076,Student_1076,M,24,EMBA,France,Bachelor,<1 year
1077,Student_1077,F,26,EMBA,France,Diploma,3-5 years
1078,Student_1078,M,24,EMBA,Illinois,Diploma,10+ years
1079,Student_1079,F,23,mba,Japan,Master,<1 year
1080,Student_1080,M,24,MBA,New York,PhD,10+ years
1081,Student_1081,,26,mba,Florida,Master,<1 year
1082,Student_1082,F,25,EMBA,Germany,Master,5-10 years
1083,Student_1083,M,22,emba,Sweden,Master,1-3 years
1084,Student_1084,M,23,EMBA,Sweden,PhD,<1 year
1085,Student_1085,M,24,MBA,Illinois,Bachelor,1-3 years
1086,Student_1086,M,26,mba,Germany,High School,3-5 years
1087,Student_1087,M,23,MBA,Massachusetts,Master,5-10 years
1088,Student_1088,M,23,EMBA,Florida,Bachelor,<1 year
1089,Student_1089,F,26,emba,California,Master,10+ years
1090,Student_1090,F,23,emba,Indonesia,Master,5-10 years
1091,Student_1091,F,23,mba,Spain,High School,5-10 years
1092,Student_1092,M,23,MBA,China,Diploma,<1 year
1093,Student_1093,M,22,EMBA,India,Diploma,<1 year
1094,Student_1094,M,22,emba,Indonesia,Bachelor,3-5 years
1095,Student_1095,F,23,MBA,New York,Bachelor,1-3 years
1096,Student_1096,F,26,emba,Spain,High School,1-3 years
1097,Student_1097,M,24,MBA,Illinois,Bachelor,10+ years
1098,Student_1098,,26,emba,Florida,High School,3-5 years
1099,Student_1099,M,23,EMBA,Vietnam,Diploma,1-3 years
1100,Student_1100,F,23,EMBA,New York,Bachelor,5-10 years
1101,Student_1101,,23,EMBA,Netherlands,Diploma,1-3 years
1102,Student_1102,F,24,EMBA,France,High School,5-10 years
1103,Student_1103,F,,MBA,California,Diploma,1-3 years
1104,Student_1104,M,24,EMBA,Spain,Diploma,5-10 years
1105,Student_1105,F,24,EMBA,Sweden,Bachelor,10+ years
1106,Student_1106,M,25,MBA,Florida,Master,1-3 years
1107,Student_1107,F,23,emba,Vietnam,PhD,1-3 years
1108,Student_1108,F,23,mba,France,High School,1-3 years
1109,Student_1109,M,24,mba,France,PhD,<1 year
1110,Student_1110,,25,MBA,Illinois,Master,1-3 years
1111,Student_1111,F,22,MBA,Italy,High School,<1 year
1112,Student_1112,F,22,MBA,Italy,High School,3-5 years
1113,Student_1113,F,24,mba,China,Bachelor,3-5 years
1114,Student_1114,M,25,MBA,India,High School,1-3 years
1115,Student_1115,F,24,emba,Massachusetts,Bachelor,5-10 years
1116,Student_1116,M,25,emba,California,Master,5-10 years
1117,Student_1117,F,22,emba,Japan,Diploma,10+ years
1118,Student_1118,F,23,MBA,Germany,Bachelor,10+ years
1119,Student_1119,M,23,mba,Sweden,Master,1-3 years
1120,Student_1120,F,25,EMBA,France,Master,<1 year
1121,Student_1121,M,25,emba,Indonesia,Diploma,5-10 years
1122,Student_1122,F,26,MBA,Netherlands,Bachelor,1-3 years
1123,Student_1123,F,24,EMBA,China,High School,<1 year
1124,Student_1124,F,,MBA,California,Bachelor,10+ years
1125,Student_1125,M,24,EMBA,Vietnam,Diploma,5-10 years
1126,Student_1126,F,23,EMBA,New York,Diploma,5-10 years
1127,Student_1127,,22,mba,China,Master,<1 year
1128,Student_1128,M,24,MBA,Massachusetts,PhD,10+ years
1129,Student_1129,F,26,MBA,Italy,PhD,1-3 years
1130,Student_1130,F,,MBA,South Korea,Bachelor,3-5 years
